order,ESU
1,Central Valley fall-late fall-run Chinook Salmon
2,Central Valley Spring-Run Chinook Salmon
3,Sacramento River Winter-run Chinook Salmon
4,California Coastal Chinook salmon
5,Up. Klamath - Trinity River Chinook
6,Southern Oregon Northern California Chinook salmon
7,Oregon Coast Chinook salmon
8,Upper Willamette River Chinook Salmon ESU
9,Lower Columbia River Chinook Salmon ESU
10,Chinook Salmon (Mid-Columbia River Spring-Run)
11,Deschutes River Summer-Fall-run Chinook Salmon
12,Snake River Fall-run Chinook Salmon ESU
13,Snake River Spring-Summer-run Chinook Salmon ESU
14,Upper Columbia River Summer and Fall Run Chinook
15,Washington Coast Chinook
16,Upper Columbia River Spring-run Chinook Salmon ESU
17,Puget Sound Chinook Salmon ESU